start	end	text
0	1040	web curso
1040	3880	le digo inmediato
3880	5460	¿y el audio se escucha?
5660	5840	sí
5840	6980	¿está bueno ya?
8800	10060	¿rodrigo me escuchas bien?
13740	15140	sí, sí, escucho bien
15140	17320	gracias
17320	26860	parece que hay más ausente
26860	28400	del que la clase anterior
28400	31280	pero hay nuevos personajes
31280	32480	claro
32480	33900	ya
33900	36940	estoy un poquito cojo
36940	38100	así que no voy a caminar tanto
38100	42480	lo primero que vamos a hacer
42480	45240	que entre un par de gente
45240	46260	online porque si no
46260	47960	siento que no les llegó el link
47960	50540	¿sí?
51360	51580	ya
51580	55060	¿plumón tienes?
55900	57240	ya, vale, gracias
57240	59800	yo había dejado un problema
59800	62900	ahí está
62900	64700	¿ahí está?
65700	66360	¿ahí está?
66360	69220	¿ahí está con
69220	70740	sí, con
70740	72160	Mozilla, ¿no?
74660	75880	voy a buscar la llavecita
75880	76660	porque esto está con
76660	77320	ya
77320	77940	¿ya?
78200	78360	¿ya?
78500	79280	¿y aprieto
79280	81500	Mozilla?
82540	83420	¿y si no?
83540	83980	¿no ves?
84360	84900	pues
84900	87460	perfecto
87460	89460	perfecto
89460	90400	Mozilla
90400	92460	pero no se ve acá la
92460	93720	no se ve acá
93720	94140	se ve la otra
94140	95000	ah, ok
95000	95480	sí
95480	97420	ahí no más
97420	100400	¿ahí?
100640	101240	primero Carolina
101240	102080	hola Carolina
102080	106700	hola, buenas tardes
107300	109020	ya
109020	111020	hola, hola, ¿cómo están?
111760	112540	buenas tardes
112540	113580	welcome to
113580	114980	clase número 2
114980	116240	de visión computacional
116240	117480	o sea, visión artificial
117480	119920	en la clase anterior
119920	121700	terminamos la clase
121700	123480	con esta diapositiva
123480	126260	básicamente
126260	128160	¿cómo encuentro
128160	128560	cierto?
128980	129340	una
129340	130640	una oportunidad
130640	132200	para crear un producto
132200	134020	o una brecha
134020	134880	donde hay la creación
134880	135560	de un producto
135560	136680	en inglés se llama
136680	137880	pro de opportunity gap
137880	139260	o sea, una brecha
139260	139980	de oportunidad
139980	141120	para crear un producto
141120	142320	especialmente
142320	143460	disruptivo
143460	144540	novedoso
144540	146320	contributivo
146320	147240	único
147240	149220	significante
149220	151020	etcétera
151020	151340	¿cierto?
152160	152620	mediante
152620	154140	una metodología
154140	154920	súper ágil
154920	156020	súper fácil
156020	156780	y súper simple
156780	158220	que vamos a ocupar
158220	158900	en este curso
158900	160760	Express de Computer Edition
160760	161540	de cuatro clases
161540	163440	y que
163440	164680	lo subí en webcurso
164680	165340	y deberían haber
165340	166140	cada equipo
166140	166820	haber subido
166820	167260	su
167260	169400	su trabajo
169400	170060	¿lo hicieron?
171360	171660	bien
171660	172540	¿a por qué?
173540	173840	bien
173840	176780	¿hay algún grupo
176780	177160	que esté
177160	178280	en su totalidad
178280	178520	acá?
180300	180740	¿no?
180960	181080	ya
181080	182380	pero dos de cuatro
182380	182980	algo así
182980	184960	perfecto
184960	185140	ya
185140	186160	una consulta
186160	186660	profesor
186660	187520	nosotros lo enviamos
187520	188740	por correo electrónico
188740	190020	dando a los integrantes
190020	190400	también
190400	192400	también funciona
192400	193360	gracias
193360	194020	sí
194020	196060	lo ideal es webcurso
196060	197220	pero como yo les dije
197220	198140	el lunes pasado
198140	199200	que lo mandaron por correo
199200	201040	quizás algunos quedaron con eso
201040	202460	ahí llegaron todo el mundo
202460	204200	hola hola a todos online
204200	204720	¿cómo están?
207280	207940	hola hola
207940	208740	¿todo bien por acá?
209400	210020	hola hola
210020	210260	ya
210260	211080	bien
211080	211880	entonces
211880	214200	lo que hicimos fue
214200	215000	básicamente
215000	216180	encontrar
216180	217440	o tratar de encontrar
217440	218400	este
218400	220000	Product Opportunity Gap
220000	221620	¿ok?
222740	223720	o sea la brecha
223720	224360	para crear un producto
224360	224740	entonces
224740	226800	para partir entretenido
226800	227500	en esta clase
227500	228380	y no irnos del tiro
228380	229460	a la fancy map
229460	230460	que tiene Computer Vision
230460	231040	que hoy día
231040	232480	es la clase
232480	233840	de procesamiento
233840	234340	de imágenes
234340	237240	mediante métodos
237240	238040	tradicionales
238040	239520	la idea es que
239520	240460	partamos un poco
240460	241880	hablando de los proyectos
241880	243120	al menos
243120	243580	en la primera
243580	244460	la primera hora
244460	245520	de este curso
245520	247800	no sé cómo
247800	248100	lo voy a hacer
248100	248840	con los online
248840	249740	pero sí
249740	251780	con los presenciales
251780	252000	¿ok?
252600	253920	entonces vamos a revisar
253920	254820	rápidamente
254820	256180	sin nada formal
256180	257380	un poco
257380	258100	que me cuenten
258100	258400	¿no es cierto?
258400	259520	con el micrófono prendido
259520	260600	a los que les toque
260600	263760	cuál fue su desafío
263760	265240	industrial
265240	265860	slash
265860	266760	empresarial
266760	267860	slash académico
267860	269620	por eso es el concepto
269620	269980	grande
269980	271040	de un desafío
271040	271860	un problema grande
271860	274440	y luego
274440	275260	¿no es cierto?
275800	276460	los factores
276460	277280	set que hicieron
277280	278280	social
278280	278800	económico
278800	279220	tecnológico
279220	280020	de ese desafío
280020	281240	y luego
281240	283000	la oportunidad
283000	283700	que creen ustedes
283700	284400	ocupando
284400	284860	algoritmos
284860	285680	de Computer Vision
285680	287060	o de visión artificial
287060	287820	o computacional
287820	290280	con un análisis
290280	290920	cegado
290920	292180	es decir
292180	292880	¿dónde creen ustedes
292880	293320	que puede haber
293320	293960	una brecha
293960	295220	o una oportunidad
295220	295840	para crear?
296140	296220	¿ya?
296840	297060	a ver
297060	297980	vamos con el equipo
297980	298660	de atrás
298660	299400	por favor
299400	301580	un locutor
301580	302560	que prenda el micrófono
302560	303140	y nos cuente
303140	304780	en cinco minutos
304780	306280	en tres minutos
306280	308760	¿se escucha?
309020	309260	¿sí?
309940	310520	y al trabajo
310520	311820	que enviamos
311820	312440	nosotros
312440	313880	aplicar
313880	315360	Computer Vision
315360	316760	a una sucursal
316760	317600	física
317600	318620	¿ya?
318880	319400	donde
319400	320640	poder mejorar
320640	321360	la satisfacción
321360	322080	de los clientes
322080	322600	de un banco
322600	323960	¿ya?
323960	324360	donde
324360	326340	hay algunas sucursales
326340	327480	que tienen alta
327480	328880	tasa de
328880	329820	de abandono
329820	331440	por la demora
331440	332220	¿ya?
332300	332720	situaciones
332720	333640	reclamo
333640	334640	por la atención
334640	336400	entonces queremos
336400	337140	ir viendo ahí
337140	337680	comportamientos
