start	end	text
0	3000	Ok, buenas tardes
3000	7520	Buenas tardes, profesor
7520	9000	Buenas tardes, profesor
9000	11840	Ok, bienvenido a la segunda clase
11840	17040	Vamos a comenzar donde habíamos quedado, ¿ok?
19920	20560	Ok
20560	24480	Muy bien, entonces, bienvenido a la segunda clase
24480	27760	Nosotros habíamos... ¿Están viendo mi pantalla, cierto?
28900	29540	Sí, profesor
29540	29760	Sí
29760	33260	Perfecto, nosotros habíamos quedado aquí
33260	38220	En lo que era una definición de un sistema de inteligencia artificial, ¿ok?
39220	42200	Entonces vamos a retomar ahí donde habíamos quedado
42200	48000	Ok, ¿alguna idea? ¿Cómo podemos definir qué es un sistema de inteligencia artificial?
51660	55680	Habíamos dicho que intentaba replicar las capacidades cognitivas humanas
55680	59980	Eso era básicamente lo que habíamos dicho en la clase pasada
59980	61440	Ok, muy bien
61440	65440	Efectivamente, ¿cierto? Lo podemos definir de esa manera
65440	66220	Ahora bien
66220	70560	Como dice Isabel
70560	73540	Que es informática, Isabel, me parece, ¿no?
74020	74900	Así es
74900	83840	Los sistemas de inteligencia artificial intentan replicar, como decía Isabel, capacidades cognitivas de humanos en máquinas
83840	87560	Y esas máquinas hoy son computadores de von Neumann
87560	89280	Llamados así por John von Neumann
89280	91480	Que como discutimos la clase anterior
91480	101040	Fue el padre lo que es la arquitectura de computadores clásicos digitales que se usan hasta el día de hoy, digamos
101040	101680	¿Ok?
102980	104680	Ahora, ¿cuáles son esas capacidades?
106340	108300	Entonces nosotros reconocemos varias de ellas
108300	108880	Una es
108880	111460	Una de las primeras que logró solucionarse
111460	113860	En inteligencia artificial
113860	115400	Que es reconocimiento de habla
115400	115920	¿Ok?
115960	120080	Que es un problema ya resuelto en muchos lenguajes naturales
120080	122500	Tenemos también visión
122500	127100	Que hoy en día es una de las áreas más desarrolladas
127100	131640	De hecho, sistemas de visión y reconocimiento de imágenes lo hacen mejor que
131640	133860	Y mucho mejor que nosotros los humanos
133860	134920	O sea, es un área
134920	137260	Que es muy intensiva en datos
137260	140120	Pero poco intensiva en conocimiento
140120	142400	Y eso es algo que vamos a recalcar
142400	146240	Porque el gran auge de las aplicaciones de inteligencia artificial
146240	148360	Que vemos hoy
150080	151680	Con el paradigma subsimbólico
151680	154180	En general aquellas que se dan muy bien con ese paradigma
154180	155380	Son aquellas que son
155380	157240	Intensivas en datos
157240	158340	Pero no en conocimiento
158340	158660	¿Ok?
158700	159960	Y visión es una de esas
159960	160980	Exactamente
160980	164600	También tenemos aprendizaje automático
164600	166300	Como una de las áreas que más ha crecido
166300	169440	En inteligencia artificial
169440	172380	Desde el cambio del milenio prácticamente
172380	177580	Pero que todavía no es capaz de implementar razonamiento automático
177580	182400	¿Alguien me puede conjeturar por qué eso es así?
185820	187240	¿Por qué Machine Learning hoy?
187300	189460	Aprendizaje automático con todos los avances que he tenido
189460	191280	Con el paradigma subsimbólico
191280	195740	Todavía no es capaz de implementar razonamiento automático
195740	201640	¿A qué se deberá eso?
204400	206160	¿Puede ser que requiera un contexto
206160	207000	Para poder
207000	210760	Realizar un aprendizaje automático?
211200	212340	Sí, requiere contexto
212340	213740	Pero va más allá
213740	215040	Requiere algo que
215040	216640	Para lo cual
216640	218600	El paradigma subsimbólico
218600	220220	No está pensado ni está diseñado
220220	224000	¿Pensamiento lateral?
226340	227000	Pensamiento, ok
227000	228400	Pero hay otra palabra para eso
228400	230860	Hay un área de la matemática
230860	232000	Que nos ayuda en eso
232000	237440	De todas las áreas de la matemática
237440	238420	Hay un área en particular
238420	240060	Que me ayuda justamente con este problema
240060	242920	De implementar razonamiento automático
242920	243760	¿La lógica?
244560	245320	¿La probabilidad?
246200	246680	¿Estadística?
246980	247500	¿Francisco?
247600	248440	¿Quién dijo lógica?
249520	250040	Lógica
250040	250860	Sí
250860	252820	¿Jorge?
253760	254880	Francisco Chéver Riega
254880	255960	Francisco
255960	256320	¿Usted
256320	257940	¿Qué es de profesión Francisco?
258860	259940	Ingeniero civil industrial
259940	261820	Ok, muy bien Francisco
261820	262360	Exactamente
262360	263360	Lógica matemática
263360	265420	No está pensada para hacer eso
265420	266860	El paradigma simbólico sí
266860	267860	Pero el subsimbólico no
267860	269180	Por lo tanto no se da muy bien
269180	271120	En aplicaciones que requieren
271120	272440	Sin embargo
272440	273100	Machine Learning
273100	273400	Como
273400	273840	Como
273840	275100	Como
275100	276200	Disciplina
276200	276980	O subdisciplina
276980	277860	De la inteligencia artificial
277860	279580	Que se dedica al aprendizaje automático
279580	281040	Ha tenido un boom
281040	282420	En los últimos 20 años
282420	284820	Con el paradigma subsimbólico
284820	285440	Sin embargo
285440	286620	Como dice ahí
286620	288500	Aún no es capaz de implementar
288500	289460	Razonamiento automático
289460	290980	Eso lo vamos a ver un poquito más adelante
290980	291580	En la clase de hoy
291580	293160	Cuando veamos las últimas arquitecturas
293160	294020	De ChartGPT
294020	294400	¿Ok?
294400	296660	Que intentan de alguna manera
296660	297860	Subsanar
297860	298420	Subsanar
298420	299640	Las últimas
299640	300660	Las que salieron ahora
300660	301260	En febrero
301260	303640	El ChartGPT 4.5
303640	305120	Intenta subsanar un poco eso
305120	307740	Con algún
307740	308980	Nivel de éxito
308980	309800	Pero está muy lejos
309800	310340	De poder
310340	312560	Llegar al nivel
312560	313360	De lo que puede ser
313360	314720	Razonamiento automático
314720	315340	En un sistema
315340	316960	De inteligencia artificial
316960	318540	Basado en el paradigma simbólico
318540	319400	Y eso lo vamos a
320080	320400	Redefinir
320400	321000	Redefinir
321000	321780	Yo hablé de eso
321780	323280	En la primera clase
323280	323600	Pero hoy día
323600	324940	Lo vamos a ver más profundamente
324940	325340	¿Ok?
326280	327880	Tenemos todo el área de robótica
327880	330500	Que es muy exitosa
330500	331680	En el área de manufactura
331680	333860	¿Ok?
334880	336120	Tenemos lenguaje natural
336120	336920	Y lenguaje natural
336920	337780	Es todo un mundo
337780	339480	No es lo mismo hablar de
339480	341120	Traducción automática
341120	342960	Y hacer resumen
342960	344160	Es que es lo que ustedes ven
344160	345560	Más a menudo
345560	346380	Cuando utilizan
346380	348160	Plataformas
348160	349920	De transformers
349920	351340	Como CharGPT
351340	352920	En sus distintas versiones
352920	355780	No es lo mismo eso
355780	357160	Que es también una área
357160	358160	Es un área
358160	359500	De Machine Learning
359500	361500	No es lo mismo eso
361500	362280	Que por ejemplo
362280	363920	Razonamiento profundo
363920	366020	Y sistemas de diálogo
366020	366600	En
366600	367320	En
367320	369700	En lenguaje natural
369700	370300	Eso requiere
370300	370820	De mucho más
370820	371800	Razonamiento automático
371800	372540	Por eso mismo
372540	375620	Las aplicaciones
375620	378120	En esas áreas
378120	378720	No se han visto
378720	379440	Muy beneficiadas
379440	380340	Del paradigma actual
380340	380820	¿Ok?
380960	382380	Cuando digo paradigma actual
382380	383020	Más en boga
383020	384220	El paradigma subsimbólico
384220	386460	Y tenemos después
386460	387140	Lo que se viene
387140	387600	O sea
387600	388020	Tenemos
388020	390140	Realidad virtual aumentada
390140	392620	Es decir
392620	393700	Recrear el mundo real
393700	394420	Y aumentarlo
394420	395140	Para dar origen
395140	396060	Al metaverso
396060	396740	En el fondo
396740	399520	Que va a requerir
399520	402780	En mi opinión
402780	404280	De una conjunción
404280	404880	De lo que son
404880	405820	Ambos paradigmas
405820	406400	El simbólico
406400	407160	Y el subsimbólico
407160	407980	Que le dimos un nombre
407980	408220	A eso
408220	409100	Le llamábamos
409100	410140	El paradigma híbrido
410140	410520	¿Ok?
411060	411560	Que es un área
411560	411980	Muy nueva
411980	412480	De investigación
412480	413460	En inteligencia artificial
413460	414720	Y que yo creo
414720	415180	Que va a tener
415180	415820	El mayor auge
415820	416240	De aquí
416240	417480	A los próximos
417480	418180	10, 20 años
418180	420240	Y lo que se viene
420240	420760	Más adelante
420760	421380	Que es AGI
421380	421960	¿Alguien sabe
421960	422820	Qué es AGI
422820	425180	O inteligencia artificial
425180	425620	General?
426180	427100	¿Alguna idea?
427100	429820	Isabel
429820	430680	Es el objetivo
430680	434060	Es el
434060	434860	Finalmente
434860	435540	El objetivo
435540	436580	Desde las
436580	436960	O sea
436960	438620	Desde los primeros
438620	439420	Atisbos
439420	439740	O sea
439740	440700	De los primeros estudios
440700	441500	De inteligencia artificial
441500	442920	Llegar a una inteligencia
442920	444020	Artificial general
444020	445580	O acercarse
445580	446380	A ella
446380	447280	Y en el fondo
447280	447780	Todo esto
447780	448380	Son pasos
448380	449740	Para ese fin
449740	451460	Es lo que vimos
451460	452420	En el curso pasado
452420	453880	Y en el fondo
453880	454280	Es para
454280	456460	De alguna u otra forma
456460	458900	Que llegue a razonar
458900	460140	De la misma manera
460140	461020	Que podría razonar
461020	461720	Una persona
461720	463480	Y sea una relación
463480	464260	Casi horizontal
464260	466260	En ese sentido
466260	467180	Ok
467180	467380	O sea
467380	468520	Ahora tenemos chats
468520	469440	Sí
469440	470460	Sí, muy bien
470460	471920	¿Y por qué le llamamos general?
473200	474120	Porque le debería tener
474120	475120	Todo el conocimiento
475120	476840	Claro
476840	477560	Es porque
477560	478560	En el fondo
478560	479200	Es una gran
479200	480220	Es un gran desafío
480220	480480	Eso
480480	482280	Pretende unir
482280	482960	Todas estas
482960	484500	Estas áreas
484500	485840	O sea
485840	487020	La gran promesa
487020	487480	De la
487480	489300	Inteligencia artificial
489300	489740	General
489740	490580	Es poder decir
490580	491880	Que reunimos
491880	493220	Todas las áreas
493220	494260	Que pusimos más arriba
494260	496020	Y las que probablemente
496020	496760	Se van a desarrollar
496760	497320	Más a futuro
497320	497760	Es decir
497760	498540	Habla, visión
498540	499820	Aprendizaje automático
499820	500420	Robótica
500420	501120	Lenguaje natural
501120	502340	En sus distintas áreas
502340	502760	Etcétera
502760	503780	Entonces es una agenda
503780	504240	De investigación
504240	505080	Que reúne
505080	506860	Reúne en el fondo
506860	507540	Todos los avances
507540	508120	Que se han hecho
508120	509440	En inteligencia artificial
509440	510120	Lo que vendrán
510120	510780	Más a futuro
510780	514360	Y como ustedes
514360	515040	Comprenderán
515040	515900	Algunas áreas
515900	516820	Están más desarrolladas
516820	517260	Que otras
517260	517940	Ok
517940	518580	Como les decía
518580	519060	Visión
519060	520020	Hoy en día
520020	521400	Un sistema de reconocimiento
521400	521980	De imágenes
521980	523760	Basados en redes neuronales
523760	524540	En arquitecturas
524540	524780	De
524780	526520	Transformers
526520	529420	Tienen un rendimiento
529420	530040	Muy superior
530040	531260	Al
531260	532680	De cualquier humano
532680	533120	Ok
533120	535180	Pero no están basados
535180	535740	En lógica
535740	536580	Están basadas
536580	537520	En reconocimiento
537520	538220	De patrones
538220	538700	Ok
538700	539980	Y en eso
539980	541240	Que es muy intensivo
541240	541580	En datos
541580	542440	Pero poco intensivo
542440	543180	En conocimiento
543180	545740	Esa área
545740	546240	Ha tenido
546240	547600	Un gran éxito
547600	548580	Otras no tanto
548580	548980	Ok
548980	550820	Entonces bueno
550820	551580	Eso es
551580	552600	Lo que nosotros
552600	553140	Entendemos
553140	553700	Como un
553700	555200	Sistema de
555200	556640	Inteligencia
556640	557060	Artificial
557060	557620	Ok
557620	564160	Entonces
564160	564820	Resumiendo
564820	565420	La AGI
565420	566340	Pretende
566340	567060	Abonar
567060	568060	O reunir
568060	569560	En un mismo sistema
569560	571600	Estas distintas disciplinas
571600	571980	Quizás
571980	573260	Probablemente
573260	574260	Y eso se los mencioné
574260	575100	En la clase pasada
575100	579420	Es un proyecto
579420	580640	Con el cual yo tuve
580640	581720	Algún nivel de contacto
581720	582680	Hace muchos años atrás
582680	583920	Entre el 2010
583920	584680	Y el 2013
584680	587580	Que fue el mayor proyecto
587580	588940	De inteligencia artificial
588940	589600	A la fecha
589600	589960	Hoy en día
589960	590880	No podemos decir lo mismo
590880	591540	Porque con todo
591540	592900	Este boom
592900	595220	Del paradigma
595220	595980	Subsimbólico
595980	596900	De los transformers
596900	598300	Obviamente las inversiones
598300	599160	Que empresas privadas
599160	600020	Están haciendo en esto
600020	600460	Son
600460	602100	Son mucho mayores
602100	602800	Si ustedes piensan
602800	603460	Que entrenar
603460	604820	Un transformer
604820	606020	Creo que
606020	607520	En sus últimas versiones
607520	608900	Un solo entrenamiento
608900	609560	Puede involucrar
609560	610220	Costos de más de
610220	611320	500 millones de dólares
611320	611700	O sea
611700	612800	Son cifras
612800	613900	Que
613900	616540	Solamente
616540	617160	Consorcios
617160	617740	De empresas
617740	619140	Privadas
619140	619840	Pueden gatillar
619840	620860	O instituciones
620860	621420	De gobierno
621420	621900	Pero
621900	623440	Sería impensable
623440	624660	Que eso pudiese salir
624660	626000	De una universidad
626000	626740	Con los presupuestos
626740	627300	Que se requieren
627300	627820	Para ello
627820	629380	Eso ahora
629380	630400	Estoy hablando
630400	630900	De cifras
630900	632340	De lo que cuesta
632340	632780	Hacer eso
632780	633300	Hoy en día
633300	635360	El proyecto
635360	636180	Del cual es leado
636180	637440	Fue proyecto
637440	639040	Un precursor
639040	639320	De esto
639320	640240	De la inteligencia
640240	641040	General artificial
641040	642040	Porque involucró
642040	642880	Al menos
642880	644080	Siete subespecialidades
644080	645020	De la inteligencia artificial
645020	645780	Estoy hablando
645780	648160	Por ahí
648160	648860	Por los dos mil
648860	649860	El año dos mil diez
649860	650260	Por ahí
650260	651540	Y tuvo un presupuesto
651540	652540	De casi 300 millones
652540	652980	De dólares
652980	653460	O sea
653460	654820	Para la fecha
654820	655460	Era el mayor
655460	656500	Presupuesto
656500	657160	Para un proyecto
657160	657920	De la inteligencia artificial
657920	659480	Hasta esa fecha
659480	659940	¿Ok?
660740	661840	Y involucró
661840	663420	Varias de estas áreas
663420	664140	Involucró
664140	665260	Aprendizaje automático
665260	666120	Razonamiento
666120	667440	Automático
667440	667980	Involucró
667980	669100	Resolución de problemas
669100	670060	Involucró
670060	672000	Percepción de entorno
672000	672800	No involucró
672800	674060	Ese problema
674060	675080	Estaba al margen
675080	675620	Del proyecto
675620	676080	Pero sí
676080	676680	Representación
676680	677240	Y entendimiento
677240	678100	Del lenguaje natural
678100	678580	¿Ok?
679020	679700	Entonces involucró
679700	680260	Varias áreas
680260	681200	Y generó propiedades
681200	681860	Intelectuales
681860	682580	En varias áreas
682580	683760	De la inteligencia artificial
683760	685620	Las cuales después
685620	686880	Dieron origen
686880	687600	De una startup
687600	689460	Que fue incubada
689460	690320	En un centro
690320	691240	Muy famoso
691240	692440	Yo se los mencioné
692440	693640	En Silicon Valley
693640	694060	Que se llama
694060	695360	Stanford Research Institute
695360	696640	Y
696640	698480	Y dio origen a Siri
698480	699680	Que después
699680	701100	Creo que en 2013
701100	703060	Si mal no recuerdo
703060	704000	Fue adquirido por
704000	705860	Por Apple
705860	706920	Y mantuvo
706920	707520	El mismo nombre
707520	708220	Como aplicación
708220	708700	Pero la empresa
708700	709520	Se llamaba Siri
709520	710160	Y la aplicación
710160	710860	También se llamaba
710860	711120	Así
711120	711600	¿Ok?
711600	715260	Eso en cuanto
715260	716500	A la promesa
716500	717180	De lo que se viene
717180	718140	Que es la inteligencia
718140	719400	La inteligencia artificial
719400	720940	General
720940	721560	¿Ok?
722120	723200	Entonces vamos un poco
723200	725380	A hablar de
725380	725980	La esencia
725980	726660	De todo sistema
726660	728240	De inteligencia artificial
728240	728940	La esencia
728940	730000	Es la representación
730000	730700	De conocimientos
730700	731300	Es esa área
731300	732100	Y yo les dije
732100	733060	Es un área central
733060	734460	En
734460	736580	Inteligencia artificial
736580	736980	O sea
736980	738640	No hay ningún
738640	740460	No hay ningún
740460	744660	Sistema de inteligencia artificial
744660	745860	Por rudimentario que sea
745860	746620	Que no tenga
746620	747200	Una
747200	748920	Una componente
748920	750240	De representación
750240	750900	De conocimientos
750900	751380	Si bien
751380	752160	Ustedes pueden
752160	753520	Contraargumentar
753520	753820	Y decir
753820	754080	Bueno
754080	755300	El paradigma actual
755300	756680	Subsimbólico
756680	757920	Que está basado en datos
757920	758640	Que no tiene
758640	761040	Explícitamente
761040	762840	Una componente
762840	763700	De representación
763700	764440	De conocimientos
764440	764820	Porque
764820	765460	Porque
765460	767680	No es declarada
767680	768420	A priori
768420	769160	En la arquitectura
769160	770400	Emerge de alguna manera
770400	771200	A través de
771200	772140	Machine Learning
772140	773000	De varias capas
773000	774800	Y eso
774800	775940	No es
775940	777860	Eso son datos
777860	778700	No es conocimiento
778700	780880	Recuerden nuestra definición
780880	782200	Datos son
782200	785520	Los que podemos capturar
785520	786440	A través de
786440	787480	De internet
787480	788420	O a través de la interacción
788420	789140	De una aplicación
789140	789620	Con un
789620	790420	Con un ser humano
790420	790980	O
790980	791760	A futuro
791760	792420	Cuando tengamos
792420	793280	Los internet en las cosas
793280	794020	Va a ser la interacción
794020	794940	Con cualquier cosa
794940	795640	Hoy en día
